Fight_ID,R_fighter,B_fighter,Winner,title_bout,B_current_streak,B_avg_SIG_STR_landed,B_avg_opp_SIG_STR_landed,B_total_time_fought(seconds),B_Stance,B_Height_cms,B_Reach_cms,R_streak,R_avg_SIG_STR_landed,R_avg_opp_SIG_STR_landed,R_total_time_fought(seconds),R_Stance,R_Height_cms,R_Reach_cms,B_age,R_age,R_Record,B_Record,B_Takedown_Diff,R_Takedown_Diff
979,Marcus Davis,Paul Kelly,Red,FALSE,1,70,43,900,Orthodox,175.26,177.8,-1,20.625,14.5,430.375,Southpaw,177.8,177.8,24,35,,,,
978,Dan Hardy,Akihiro Gono,Red,FALSE,1,27,31,499,Switch,170.18,172.72,0,,,,Orthodox,182.88,187.96,34,26,,,,
977,Shane Carwin,Neil Wain,Red,FALSE,0,,,,Orthodox,177.8,,1,5,2,44,Orthodox,187.96,203.2,,33,,,,
976,David Bielkheden,Jess Liaudin,Red,FALSE,-2,19.5,16.25,323.75,Orthodox,175.26,182.88,-1,1,24,283,Orthodox,177.8,180.34,,29,,,,
975,Terry Etim,Sam Stout,Red,FALSE,-1,43.8,41.2,741.2,Orthodox,175.26,177.8,-2,15.33333333,20,696,Orthodox,185.42,185.42,24,22,,,,
974,Jim Miller,David Baron,Red,FALSE,0,,,,Switch,167.64,,0,,,,Southpaw,172.72,180.34,35,25,,,,
973,Per Eklund,Samy Schiavo,Red,FALSE,-1,4,11,255,Orthodox,172.72,,-1,20,33,900,Orthodox,177.8,182.88,32,,,,,
972,Nate Diaz,Josh Neer,Red,FALSE,1,28.83333333,28.83333333,626.1666667,Orthodox,180.34,182.88,4,5.25,11.25,318.75,Southpaw,182.88,193.04,25,23,,,,
971,Clay Guida,Mac Danzig,Red,FALSE,2,28,13,474.5,Orthodox,172.72,177.8,1,32.83333333,28.5,698,Orthodox,170.18,177.8,28,26,,,,
970,Alan Belcher,Ed Herman,Red,FALSE,-1,20.33333333,10.33333333,462,Orthodox,185.42,195.58,-1,17.5,22.83333333,489.5,Orthodox,187.96,185.42,27,24,,,,
969,Eric Schafer,Houston Alexander,Red,FALSE,-2,9.25,7.75,80.5,Orthodox,182.88,182.88,-2,7.666666667,17,292.3333333,Orthodox,190.5,190.5,36,30,,,,
