Fight_ID,R_fighter,B_fighter,Winner,title_bout
4755,Abdul Razak Alhassan,Niko Price,Red,FALSE
4754,Carla Esparza,Tatiana Suarez,Blue,FALSE
4753,Aljamain Sterling,Cody Stamann,Red,FALSE
4752,Geoff Neal,Frank Camacho,Red,FALSE
4751,Charles Byrd,Darren Stewart,Blue,FALSE
4750,Diego Sanchez,Craig White,Red,FALSE
4749,Jim Miller,Alex White,Red,FALSE
4748,Irene Aldana,Lucie Pudilova,Red,FALSE
4747,Roberto Sanchez,Jarred Brooks,Blue,FALSE
4746,Justin Gaethje,James Vick,Red,FALSE
4745,Michael Johnson,Andre Fili,Red,FALSE
4744,Cortney Casey,Angela Hill,Red,FALSE
4743,Jake Ellenberger,Bryan Barberena,Blue,FALSE
4742,John Moraga,Deiveson Figueiredo,Blue,FALSE
4741,Eryk Anders,Tim Williams,Red,FALSE
4740,James Krause,Warlley Alves,Red,FALSE
4739,Cory Sandhagen,Iuri Alcantara,Red,FALSE
4738,Andrew Sanchez,Markus Perez,Red,FALSE
4737,Mickey Gall,George Sullivan,Red,FALSE
4736,Joanne Calderwood,Kalindra Faria,Red,FALSE
4735,Drew Dober,Jon Tuck,Red,FALSE
4734,Rani Yahya,Luke Sanders,Red,FALSE
4733,TJ Dillashaw,Cody Garbrandt,Red,TRUE
4732,Demetrious Johnson,Henry Cejudo,Blue,TRUE
4731,Cub Swanson,Renato Moicano,Blue,FALSE
4730,Polyana Viana,JJ Aldrich,Blue,FALSE
4729,Thiago Santos,Kevin Holland,Red,FALSE
4728,Pedro Munhoz,Brett Johns,Red,FALSE
4727,Ricky Simon,Montel Jackson,Red,FALSE
4726,Ricardo Ramos,Kyung Ho Kang,Red,FALSE
4725,Matt Sayles,Sheymon Moraes,Blue,FALSE
4724,Alex Perez,Jose Torres,Red,FALSE
4723,Danielle Taylor,Weili Zhang,Blue,FALSE
4722,Marlon Vera,Wuliji Buren,Red,FALSE
4721,Eddie Alvarez,Dustin Poirier,Blue,FALSE
4720,Jose Aldo,Jeremy Stephens,Red,FALSE
4719,Joanna Jedrzejczyk,Tecia Torres,Red,FALSE
4718,Alexander Hernandez,Olivier Aubin-Mercier,Red,FALSE
4717,Jordan Mein,Alex Morono,Red,FALSE
4716,Hakeem Dawodu,Austin Arnett,Red,FALSE
4715,Kajan Johnson,Islam Makhachev,Blue,FALSE
4714,Gadzhimurad Antigulov,Ion Cutelaba,Blue,FALSE
4713,John Makdessi,Ross Pearson,Red,FALSE
4712,Alexis Davis,Katlyn Chookagian,Blue,FALSE
