fight_id,r_fighter,r_current_streak,r_avg_sig_str_landed,r_avg_opp_sig_str_landed,r_total_time_fought_seconds,r_stance,r_height_cms,r_reach_cms,r_age,r_record,r_takedown_diff,b_fighter,b_current_streak,b_avg_sig_str_landed,b_avg_opp_sig_str_landed,b_total_time_fought_seconds,b_stance,b_height_cms,b_reach_cms,b_age,b_record,b_takedown_diff,winner,title_bout
5052,Wilson Reis,1,22.5,35.75,727.5833333,Southpaw,162.56,165.1,34,2,3.333333333,Alexandre Pantoja,2,51.6,40.4,717.8,Orthodox,165.1,170.18,28,3,-2,Blue,f
5051,Max Griffin,-2,52.16666667,46.5,732,Orthodox,180.34,193.04,33,-2,-0.833333333,Zelim Imadaev,0,,,,Orthodox,182.88,193.04,24,0,0,Red,f
5050,Boston Salmon,0,,,,Southpaw,175.26,175.26,28,0,0,Khalid Taha,-1,32,45,900,Orthodox,165.1,175.26,27,-1,-6,Blue,f
5049,Curtis Millender,-1,43.5,30.75,628,Orthodox,187.96,193.04,31,2,-1.25,Belal Muhammad,-1,60.375,53.5,792.25,Orthodox,180.34,182.88,30,2,1.75,Blue,f
5048,Montel Jackson,1,26,15.5,500,Southpaw,177.8,190.5,26,0,-2.5,Andre Soukhamthath,1,42.6,51.4,793.2,Orthodox,175.26,177.8,30,-1,0.8,Red,f
5047,Lauren Mueller,-1,37.5,43,570,Orthodox,165.1,170.18,27,0,0.5,Poliana Botelho,-1,27.33333333,17,407,Orthodox,172.72,170.18,30,1,-0.333333333,Blue,f
5046,Brandon Davis,-2,52,48.75,806.5,Orthodox,177.8,182.88,28,-2,-4.75,Randy Costa,0,,,,Switch,175.26,185.42,24,0,0,Red,f
5045,Edson Barboza,1,45.45,47.15,683,Orthodox,180.34,190.5,33,8,-0.4,Justin Gaethje,1,87,107.5,611.75,Orthodox,180.34,177.8,30,0,-0.5,Blue,f
5044,David Branch,-1,17,19.25,611.625,Orthodox,185.42,198.12,37,0,0.75,Jack Hermansson,2,34.85714286,12.57142857,425,Orthodox,185.42,195.58,30,3,0.428571429,Blue,f
5043,Josh Emmett,-1,46.16666667,43.16666667,711.3333333,Orthodox,167.64,177.8,34,2,0.833333333,Michael Johnson,2,49.15,45.15,684.45,Southpaw,177.8,185.42,32,2,-0.35,Red,f
5042,Karolina Kowalkiewicz,-1,75.625,67.75,787.625,Orthodox,160.02,162.56,33,2,-0.5,Michelle Waterson,2,45.66666667,40.33333333,687.6666667,Orthodox,160.02,157.48,33,2,1,Blue,f
5041,Kennedy Nzechukwu,0,,,,,,,,,,Paul Craig,-1,18,26,551,Orthodox,190.5,193.04,31,,,Blue,f
5040,Sodiq Yusuff,1,23,5,134,Orthodox,175.26,180.34,25,,,Sheymon Moraes,2,41,45.33333333,890,Orthodox,172.72,182.88,28,,,Red,f
5039,Marina Rodriguez,-1,60,48,900,Orthodox,167.64,165.1,31,,,Jessica Aguilar,-1,66,85,730.25,Orthodox,160.02,160.02,36,,,Red,f
5038,Ross Pearson,-1,44.08,48.52,719.72,Orthodox,172.72,175.26,34,,,Desmond Green,-1,48.2,33.2,900,Southpaw,177.8,185.42,29,,,Blue,f
5037,Enrique Barzola,4,52.83333333,33.83333333,900,,170.18,177.8,29,,,Kevin Aguilar,1,86,74,900,Orthodox,170.18,185.42,30,,,Blue,f
5036,Kevin Holland,1,77,60,872.5,Orthodox,190.5,205.74,26,,,Gerald Meerschaert,-1,20,24.83333333,344.6666667,Southpaw,185.42,195.58,31,,,Red,f
5035,Ray Borg,-1,18.625,27.25,851,Orthodox,162.56,160.02,25,,,Casey Kenney,0,,,,Southpaw,170.18,172.72,28,,,Blue,f
5034,Sabina Mazo,0,,,,Orthodox,170.18,177.8,22,,,Maryna Moroz,-1,40.6,50,738,Orthodox,170.18,170.18,27,,,Blue,f
5033,Alex Perez,-1,37.75,28.25,449.75,Orthodox,167.64,165.1,27,,,Mark De La Rosa,2,31,28.66666667,573.6666667,Orthodox,167.64,165.1,24,,,Red,f
5032,Stephen Thompson,-1,48.38461538,35.15384615,841.7692308,Orthodox,182.88,190.5,36,,,Anthony Pettis,-1,35.53333333,43,680.6,Orthodox,177.8,182.88,32,,,Blue,f
5031,Curtis Blaydes,-1,38.25,22.125,550.125,Orthodox,193.04,203.2,28,,,Justin Willis,4,52.25,34.75,713.25,Southpaw,185.42,198.12,31,,,Red,f
5030,John Makdessi,2,61.33333333,43.46666667,670.8666667,Orthodox,172.72,172.72,33,,,Jesus Pinedo,1,60,58,900,,177.8,,22,,,Red,f
5029,Jussier Formiga,3,15.25,24.75,685.1666667,Orthodox,165.1,170.18,33,,,Deiveson Figueiredo,3,26.33333333,17.66666667,654,Orthodox,165.1,172.72,31,,,Red,f
5028,Luis Pena,-1,15.5,29,556,Southpaw,190.5,190.5,25,,,Steven Peterson,1,73.5,85.5,900,Orthodox,177.8,177.8,28,,,Red,f
5027,Maycee Barber,1,68,41,421,Switch,165.1,165.1,20,,,JJ Aldrich,3,55.75,58,900,Southpaw,165.1,170.18,26,,,Red,f
5026,Bryce Mitchell,1,38,51,900,Southpaw,177.8,,24,,,Bobby Moffett,1,20,30,463,Orthodox,177.8,187.96,28,,,Red,f
5025,Marlon Vera,2,37.1,45.1,688.7,Switch,172.72,177.8,26,,,Frankie Saenz,2,58.25,45.125,876.75,Orthodox,167.64,167.64,38,,,Red,f
5024,Alexis Davis,-1,38.66666667,41.66666667,708.3333333,Orthodox,167.64,172.72,34,,,Jennifer Maia,-1,42,53,900,Orthodox,162.56,162.56,30,,,Blue,f
5023,Randa Markos,-2,40.7,45.5,837.4,Orthodox,162.56,160.02,33,,,Angela Hill,-1,78,72.625,808.375,Orthodox,160.02,162.56,34,,,Red,f
5022,Ryan MacDonald,0,,,,Switch,180.34,180.34,26,,,Chris Gutierrez,-1,26,35,552,Orthodox,175.26,175.26,27,,,Blue,f
5021,Eric Shelton,1,41.2,24.4,900,Orthodox,167.64,172.72,28,,,Jordan Espinosa,0,,,,Orthodox,167.64,180.34,29,,,Blue,f
5020,Darren Till,-1,30.85714286,38.42857143,773.7142857,Southpaw,182.88,187.96,26,,,Jorge Masvidal,-2,54.46666667,39.06666667,797.7333333,Orthodox,180.34,187.96,34,,,Blue,f
5019,Leon Edwards,6,34,28.5,858.8,Southpaw,182.88,187.96,27,,,Gunnar Nelson,1,17.63636364,34,548.3636364,Switch,180.34,182.88,30,,,Red,f
5018,Volkan Oezdemir,-2,42.8,36.4,451.2,Orthodox,187.96,190.5,29,,,Dominick Reyes,3,43.33333333,16,431.3333333,Southpaw,193.04,195.58,29,,,Blue,f
5017,Nathaniel Wood,2,47,26,645,Orthodox,167.64,175.26,25,,,Jose Quinonez,4,40.8,29,750.8,,172.72,175.26,28,,,Red,f
5016,Danny Roberts,2,31.57142857,29.28571429,510.8571429,Southpaw,185.42,187.96,31,,,Claudio Silva,3,29.33333333,26.66666667,690.3333333,Southpaw,180.34,180.34,36,,,Blue,f
5015,Jack Marshman,-2,29,38.2,606.2,Orthodox,182.88,185.42,29,,,John Phillips,-2,25.5,67,541.5,Southpaw,180.34,190.5,33,,,Red,f
5014,Arnold Allen,4,28.75,24.25,815.5,Southpaw,172.72,177.8,25,,,Jordan Rinaldi,1,12.75,20.75,551.75,Orthodox,177.8,182.88,31,,,Red,f
5013,Marc Diakiese,-2,27.4,30.4,610.4,Orthodox,177.8,185.42,25,,,Joe Duffy,-1,23.16666667,26,452.6666667,Orthodox,177.8,185.42,31,,,Red,f
5012,Nicolae Negumereanu,0,,,,Orthodox,182.88,198.12,24,,,Saparbeg Safarov,-2,22.5,36,354,Orthodox,185.42,198.12,32,,,Blue,f
5011,Danny Henry,2,47.5,36,469.5,Orthodox,182.88,185.42,30,,,Dan Ige,2,38.66666667,42.66666667,616.6666667,Orthodox,170.18,180.34,27,,,Blue,f
5010,Molly McCann,-1,10,17,425,Orthodox,162.56,157.48,28,,,Priscila Cachoeira,-1,2,95,565,Orthodox,170.18,165.1,30,,,Red,f
